video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=NUSiLOwkrIw&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@Vox,Vox,"Flint's water crisis, explained in 3 minutes",983K,8 years,... water crisis: http://www.vox.com/energy-and-environment/2016/1/20/10799294/flint-michigan-water-crisis-lead-contaminated ...,2024-01-27 23:26:40.599992
/watch?v=BAIXmt58iBU&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@SciShow,SciShow,The Truth About Flint Michigan: A Clean Water Crisis,1.1M,5 years,"The Flint, Michigan water crisis was a big deal—and while it was all over the news, there's a lot the media didn't share. What really ...",2024-01-27 23:26:40.604419
/watch?v=nTpsMyNezPQ&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@CNN,CNN,Here's how Flint's water crisis happened,499K,8 years,"CNN's Sara Ganim explains the story behind the water crisis in Flint, Michigan.",2024-01-27 23:26:40.607195
/watch?v=GYiVHh4U4pE&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@60minutes,60 Minutes,The legacy of the Flint water crisis,237K,3 years,"Six years ago, lead seeped into the tap water in Flint, Michigan, while state and local officials said everything was fine. Now, the ...",2024-01-27 23:26:40.610000
/watch?v=6oVEBCtJgeA&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@frontline,FRONTLINE PBS | Official,Flint's Deadly Water (full documentary) | FRONTLINE,1.8M,3 years,... uncovers the extent of a deadly Legionnaires' disease outbreak during the Flint water crisis — and how officials failed to stop it.,2024-01-27 23:26:40.612654
/watch?v=rUlniQC4znI&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@WHAS11News,WHAS11,Flint water crisis: 7 people charged,548,1 year,The crisis started in 2014 when Flint city managers began using water from Flint River instead of a regional water system to save ...,2024-01-27 23:26:40.615323
/watch?v=xrdBbluExuQ&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@ajplus,AJ+,Flint Water Crisis: Michigan Officials Request Federal Aid,14K,8 years,"As if the water crisis in Flint, Michigan, wasn't bad enough, health officials are now investigating a spike of severe pneumonia ...",2024-01-27 23:26:40.618140
/watch?v=8pdhB9wm5Ms&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@NBCNews,NBC News,"Ex-Governor, Former Michigan Officials Charged In Flint Water Crisis | NBC Nightly News",166K,3 years,"NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news ...",2024-01-27 23:26:40.620756
/watch?v=pQq7X8nF28I&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@ClickOnDetroitLocal4WDIV,Click On Detroit | Local 4 | WDIV,Flint water crisis charges dismissed against ex-Michigan Gov. Rick Snyder,30K,1 year,"A judge dismissed criminal charges against former Michigan Gov. Rick Snyder in the Flint water crisis, months after the state ...",2024-01-27 23:26:40.623520
/watch?v=aPkRv8M_3t4&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@60minutes,60 Minutes,60 Minutes Archive: Children of Flint,30K,2 years,"A judge has approved a $626 million settlement in the Flint water crisis case. In 2020, Sharyn Alfonsi reported on Dr. Mona ...",2024-01-27 23:26:40.626413
/watch?v=QnDQFivtCd0&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@ajplus,AJ+,"Lead In The Water In Flint, Michigan",160K,8 years,"When the city of Flint, Michigan, wanted to cut costs, they switched water systems. But that decision had big consequences, ...",2024-01-27 23:26:40.630854
/watch?v=cMfN5PkQ60Q&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@mlive,MLive,A Look Inside the Flint Water Crisis,71K,8 years,"The water crisis in Flint, Michigan has been going on for almost two years. A national disaster has been declared, but we look ...",2024-01-27 23:26:40.634586
/watch?v=jQxZuEOWeic&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@wxyztvdetroit,WXYZ-TV Detroit | Channel 7,Miss Michigan mentions Flint water crisis during Miss America pageant,48K,5 years,Miss Michigan caused a stir when she introduced herself during the 93rd annual Miss America pageant Sunday night.,2024-01-27 23:26:40.637113
/watch?v=GCNDE58G4KQ&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@PBSNewsHour,PBS NewsHour,"6 years after water crisis began, what has changed in Flint -- and what hasn't",16K,3 years,"The water crisis in Flint, Michigan, exposed major health and environmental concerns for residents and prompted new scrutiny of ...",2024-01-27 23:26:40.640033
/watch?v=lekYRPRZEJQ&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@frontline,FRONTLINE PBS | Official,Flint Water Crisis Continues its Deadly Toll Five Years After It Began | FRONTLINE,26K,4 years,"During the Flint water crisis, 26-year-old Jassmine McBride was diagnosed with Legionnaires' disease. She survived the outbreak ...",2024-01-27 23:26:40.643497
/watch?v=pd2qxi2mF_4&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@CBSSundayMorning,CBS Sunday Morning,Exposing the Flint water crisis,155K,5 years,"It's the age-old question: Is the glass half empty, or half full? For the people of Flint Michigan, it's far from being a settled issue.",2024-01-27 23:26:40.647206
/watch?v=n0LqPB9Blc4&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@CBSDetroit,CBS Detroit,"Michigan still dealing with fallout from Flint water crisis 9 years later, new water worries",5.5K,10 months,"As water infrastructure across the country grows older, residents and leaders in Flint, Michigan say what happened to them should ...",2024-01-27 23:26:40.650084
/watch?v=6UNFhAAD4o0&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@CNN,CNN,Michigan officials absent at Flint water crisis hearing,22K,7 years,"Tempers flare after key officials, including Michigan Governor Rick Snyder, were absent from a Congressional hearing on the Flint ...",2024-01-27 23:26:40.652947
/watch?v=nwdiLeONpBs&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@CBSMornings,CBS Mornings,Michigan announces $600 million Flint water crisis settlement,24K,3 years,"After over a year and a half of negotiations, the state of Michigan announced a $600 million settlement with residents of the city of ...",2024-01-27 23:26:40.655580
/watch?v=872Xz63b9VU&pp=ygUhZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzY3Jpc2lz,/@CBCTheNational,CBC News: The National,"Water Crisis in Flint, Michigan",21K,8 years,Voice Your Opinion & Connect With Us Online: The National Updates on Facebook: https://www.facebook.com/thenational The ...,2024-01-27 23:26:40.659334
/watch?v=fy15NcwlTx4&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ClickOnDetroitLocal4WDIV,Click On Detroit | Local 4 | WDIV,Final approval given for Flint water crisis settlement,1.4K,10 months,A judge has given the final sign-off on a historic settlement for the people impacted by the Flint water crisis.,2024-01-27 23:26:47.910664
/watch?v=r093aIVeL4o&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ClickOnDetroitLocal4WDIV,Click On Detroit | Local 4 | WDIV,Failure in Flint: Inside the Water Crisis,31K,5 years,Here is Local 4's hour-long special on the water crisis in Flint.,2024-01-27 23:26:47.914085
/watch?v=ZTgf0C0Vm00&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ABCNews,ABC News,"5 years after Flint water crisis, city battles widespread mistrust | ABC News",56K,4 years,"""I'd rather be on the bottled water and be on the safe side,"" said Flint resident Benjamin Wilson. READ MORE: ...",2024-01-27 23:26:47.917519
/watch?v=3-hVMjgzEiI&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@CBCTheNational,CBC News: The National,Flint: After the drinking water crisis,97K,6 years,"Residents of Flint, Michigan are pulling together but preparing for the worst, years after lead was found in their water supply ...",2024-01-27 23:26:47.928164
/watch?v=XIf8L5wFosM&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@scrippsnews,Scripps News,"Flint Water Crisis: A Decade Later, Lead Pipes Still Poison Residents' Lives",4K,8 months,"This detailed Scripps News investigation, explores the ongoing water crisis in Flint, Michigan, where residents are still struggling ...",2024-01-27 23:26:47.935584
/watch?v=GOez8Rgyywk&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@PBSNewsHour,PBS NewsHour,Former Michigan governor charged for mishandling Flint water crisis,19K,3 years,Prosecutors in Michigan announced 41 criminal charges against nine former state and city officials Thursday in the Flint water ...,2024-01-27 23:26:47.946694
/watch?v=9iCdkjW4YQ8&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@ajplus,AJ+,Why Flint still doesn’t have clean water after 4 years | AJ+,326K,5 years,"AJ+'s Dena Takruri returns to Flint for the 4-year anniversary of the water crisis. Officials here say the water is safe, but residents ...",2024-01-27 23:26:47.951248
/watch?v=Zm8Dh133wY8&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@msnbc,MSNBC,Tragic Impact Of Lead Poisoning On Kids: Flint Water Crisis | Rachel Maddow | MSNBC,25K,7 years,"About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed ...",2024-01-27 23:26:47.958922
/watch?v=Cvl2tHwuvzk&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@TED,TED,"A creative solution for the water crisis in Flint, Michigan | LaToya Ruby Frazier",47K,4 years,"Artist and TED Fellow LaToya Ruby Frazier spent five months living in Flint, Michigan, documenting the lives of those affected by ...",2024-01-27 23:26:47.969576
/watch?v=RuU0_0WwfNE&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@novapbs,NOVA PBS Official,Flint: A Timeline,3.5K,6 years,Wonder how the lead crisis in Flint developed? Saad Amer explains the crisis from its origin to the modern day.,2024-01-27 23:26:47.973082
/watch?v=pjOfD_i41cI&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@frontline,FRONTLINE PBS | Official,"EXCLUSIVE: Before Flint's Water Crisis, One Man Warned, ""People Are Gonna Die"" | FRONTLINE",9.4K,4 years,"Thousands were poisoned by Flint's drinking water. Matt McFarland, a foreman at Flint's water treatment plant, tried to sound the ...",2024-01-27 23:26:47.977089
/watch?v=u2ZynkD3N_k&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@CNN,CNN,Obama drinks Flint water,299K,7 years,"President Barack Obama traveled to Flint, Michigan, to hear from families who have been living with the lead contaminated tap ...",2024-01-27 23:26:47.984570
/watch?v=W4GeqH4RkaM&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@GMA,Good Morning America,Flint residents say they’re still grappling with unsafe drinking water 9 years later,4.9K,9 months,"Years of contaminated water in Flint, Michigan, led to health issues among residents. ABC News' Jaclyn Lee has more on the ...",2024-01-27 23:26:47.993516
/watch?v=W5rgnf8wLNc&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@PBSNewsHour,PBS NewsHour,"In Flint, public trust poisoned by toxic drinking water crisis",24K,8 years,"In Flint, Michigan, toxic drinking water has become a federal emergency. For a year and a half, residents were consuming water ...",2024-01-27 23:26:47.999495
/watch?v=3bciXJdz2YE&pp=ygUiZmxpbnQgbWljaGlnYW4gd2F0ZXIgY3Jpc2lzIGNyaXNpcw%3D%3D,/@CNN,CNN,Michael Moore: Flint water crisis 'a racial crime',16K,7 years,"Michael Moore says the water crisis in Flint is a ""version of manslaughter"" and urges the Michigan government to act to fix the ...",2024-01-27 23:26:48.006549
