video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=rvCL15fsphE&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@PerunAU,Perun,"Russia's Winter Offensive & The War in Ukraine - The Initiative, losses, & air, sea & land campaigns",207K,14 hours,"Even as global attention is pulled in a dozen different directions, the fighting in Ukraine continues amidst a winter cold that ...",2024-01-29 04:09:15.943062
/watch?v=bRZWPKnIRtU&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@Military-TV,Military TV,How Russia will Defeating American M1 Abrams In Ukraine,85K,15 hours,"Amid the ongoing conflict in Eastern Europe, the presence of another batch of American M1 Abrams – often labelled as Monster ...",2024-01-29 04:09:15.953388
/watch?v=7KuTAgAqOzU&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@JoeBlogs,Joe Blogs,RUSSIA's 9 Step Plan for World War 3 as Plans to Invade Poland Could Cause Full Scale War with NATO,153K,16 hours,Please Support The Channel: https://www.buymeacoffee.com/JoeBlogs https://www.patreon.com/joeblogsYT YouTube ...,2024-01-29 04:09:15.959559
/watch?v=37_mBXpjXeQ&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@DenysDavydov,Denys Davydov,Update from Ukraine | Ruzzia goes all in But Failed | Worst day for Z-Army | All their forces gone,547K,1 day,My Instagram: @denys_pilot My new channel: https://www.youtube.com/channel/UC6otK5fAm5IoNEPqCXcFdww You may check ...,2024-01-29 04:09:15.962128
/watch?v=OpTiVlTNz9g&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@UkraineMatters,Ukraine Matters,Ukraine's UNBREAKABLE FORTRESS: Russia Uses Unique Angle - Ukraine War Map Update 28/Jan/2024,44K,6 hours,"Pre-Save ""Ukraine Matters"" Song https://push.fm/ps/cb-um by Cardinal Birds Buy me a coffee ...",2024-01-29 04:09:15.964389
/watch?v=bL8Tr5YeqPE&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@CNN,CNN,Retired general explains 'fascinating' development in Russia's war against Ukraine,1.7M,6 days,"Retired Lt. Gen. Mark Hertling explains how Ukraine has been able to hit Russian targets, like the oil terminal they claimed to have ...",2024-01-29 04:09:15.966818
/shorts/pn4W1_jqdUQ,/@washingtonpostshorts,Washington Post Shorts,U.N. votes to end the war in Ukraine. Here's what that means.,4M,11 months,"The nonbinding resolution advocates for peace, reaffirms support to Ukraine's sovereignty and highlights the need for ...",2024-01-29 04:09:15.969245
/watch?v=JRmJPMIy8H0&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@CBSNews,CBS News,"The state of the war in Ukraine, 700 days after Russia's invasion",50K,4 days,Wednesday marks 700 days since Russia launched its full-scale attack on Ukraine. The general opinion when Moscow's troops ...,2024-01-29 04:09:15.972038
/watch?v=DJuv783LulI&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@SkyNewsAustralia,Sky News Australia,New recruits train to join Ukraine’s army to fight in war,11K,1 day,"As the two-year anniversary of Russia's invasion of Ukraine nears, new recruits have been training in the country's east in ...",2024-01-29 04:09:24.912178
/watch?v=1_dTvuURfvQ&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@dwnews,DW News,How Ukraine's signal-jamming guns stop Russian drones | DW News,307K,3 days,"Nearly two years into the war in Ukraine, kamikaze drones have become commonplace on both sides. One effective way to stop ...",2024-01-29 04:09:24.915264
/watch?v=cCBJeByM6ZE&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@CNN,CNN,Video shows Ukrainian armored vehicle singlehandedly stopping Russian assault,195K,3 days,CNN's Fred Pleitgen gains rare access to Ukraine's command center as the military holds the front lines against the Russian ...,2024-01-29 04:09:24.918120
/watch?v=yrrso5JDR5I&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@forces_news,Forces News,Ukraine: How US-supplied Bradleys destroyed feared Russian T-90 tank,606K,9 days,Incredible footage has been released showing one of Russia's most capable main battle tanks being obliterated by the firepower ...,2024-01-29 04:09:24.920660
/watch?v=R8DvUzV1GxU&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@TheRussianDude,The Russian Dude,FINALLY! Putin READY TO TALK. Russia to PROVIDE SECURITY GUARANTEES. Ukraine ALLOWED TO JOIN NATO,134K,1 day,"Are those diplomats? Negotiators? No, these are just typical Z-Patriots. Update on IL-76 crash. Who is responsible? Putin thinks it ...",2024-01-29 04:09:24.923899
/watch?v=iBMUZ5dVrpo&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@CBSNews,CBS News,Russian foreign minister says U.S. is wrong about ending Ukraine war,311K,6 days,"Russian Foreign Minister Sergey Lavrov, in New York for U.N. meetings on Ukraine and the Middle East, told CBS News ...",2024-01-29 04:09:24.933479
/watch?v=lkMJ5V_v0uY&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@RFU,Reporting from Ukraine,14 Dec: LEAKED. US Intelligence EXPOSES THE NEW RUSSIAN PLAN | War in Ukraine Explained,538K,1 month,I am Ukrainian. My country has been invaded by Russia. In this video I will tell you what happened on the six-hundred-fifty-ninth ...,2024-01-29 04:09:24.938506
/watch?v=W86Mm2s_pkA&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@arturrehi,Artur Rehi,Putin Declared Alaska occupied by the U.S. | Ukraine War Update,412K,6 days,Until my next video Stay cool my friends! Bye bye!,2024-01-29 04:09:24.941249
/watch?v=M_uhfHnuKgw&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@RFU,Reporting from Ukraine,24 Dec: Finally! FIRST F-16 SQUADRON ALREADY TERRORIZING RUSSIAN AVIATION | War in Ukraine Explained,926K,1 month,I am Ukrainian. My country has been invaded by Russia. In this video I will tell you what happened on the six-hundred-sixty-ninth ...,2024-01-29 04:09:24.944426
/watch?v=2g4EBIUBptU&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@DenysDavydov,Denys Davydov,Update from Ukraine | Awesome News from the South! Ukraine Kicks out Elite Ruzzian VDV Forces,606K,6 days,My Instagram: @denys_pilot Video about Ruzzian Oil tankers: https://youtu.be/-2lq9-_9F1I?si=4aLA-K2Stlmf7hWV You may check ...,2024-01-29 04:09:24.947473
/watch?v=eMACkjjCGHw&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@BBCNews,BBC News,Russian women stage rare protest over husbands at war in Ukraine | BBC News,263K,5 days,A group of women whose husbands are at war in Ukraine are publicly criticising the Russian authorities. Their partners are among ...,2024-01-29 04:09:24.950291
/watch?v=cLc4bttp18g&pp=ygURdWtyYWluZSB3YXJydXNzaWE%3D,/@NBCNews,NBC News,Dramatic battle video shows Ukrainian raid on Russian trenches near Bakhmut,368K,2 months,Ukraine's military has released footage said to show its troops engaged in fierce fighting to capture Russian positions near ...,2024-01-29 04:09:24.953127
/watch?v=7_Im7Zij0o0&pp=ygUTdWtyYWluZSB3YXIgcnVzc2lhbg%3D%3D,/@TheTimes,The Times and The Sunday Times,Ukrainian and Russian forces engage in close combat in Donetsk region,330K,8 days,47th Separate Mechanized Brigades of the Ukrainian army released a blazing footage that shows close combat between ...,2024-01-29 04:09:32.612988
/watch?v=VEODZgJ5ons&pp=ygUTdWtyYWluZSB3YXIgcnVzc2lhbg%3D%3D,/@BBCNews,BBC News,Inside Russia as war in Ukraine grinds into new year - BBC News,1M,4 weeks,"As the world enters a new year, the war in Ukraine also grinds into another year. Many Russians are still willing to believe the ...",2024-01-29 04:09:32.614596
/watch?v=zMhVh6jWXO4&pp=ygUTdWtyYWluZSB3YXIgcnVzc2lhbg%3D%3D,/@arturrehi,Artur Rehi,Poland prepares for WAR with RUSSIA! | Ukraine War Update,260K,5 days,Until my next video Stay cool my friends! Bye bye!,2024-01-29 04:09:32.615938
/watch?v=YgJexejdXMg&pp=ygUTdWtyYWluZSB3YXIgcnVzc2lhbg%3D%3D,/@WION,WION,Russia-Ukraine war: Russia locks horn with Ukraine and US at UNSC meet | World DNA,51K,6 days,"Shattered storefronts, broken glass, civilian casualties, and artillery shells struck a suburb of the Russian occupied Donetsk in ...",2024-01-29 04:09:32.617322
/watch?v=8_h5LAgLzyM&pp=ygUTdWtyYWluZSB3YXIgcnVzc2lhbg%3D%3D,/@thesun,The Sun,Ukrainian forces ambush fleeing Russian soldiers in recently liberated Andriivka,816K,4 months,Footage released by 3rd Assault Brigade appears to show the moment Ukrainian forces ambush successfully Russian soldiers as ...,2024-01-29 04:09:32.618719
